zipcode,province_city,province_city_eng,city_county,city_county_eng,eup_myeon,eup_myeon_eng,road_nm,road_nm_eng,short_zipcode
08251,서울특별시,Seoul,구로구,Guro-gu,,,고척로21가길,Gocheok-ro 21ga-gil,082
08508,서울특별시,Seoul,금천구,Geumcheon-gu,,,벚꽃로46나길,Beotkkot-ro 46na-gil,085
08601,서울특별시,Seoul,금천구,Geumcheon-gu,,,벚꽃로,Beotkkot-ro,086
01844,서울특별시,Seoul,노원구,Nowon-gu,,,동일로186길,Dongil-ro 186-gil,018
01796,서울특별시,Seoul,노원구,Nowon-gu,,,화랑로60길,Hwarang-ro 60-gil,017
01695,서울특별시,Seoul,노원구,Nowon-gu,,,노해로,Nohae-ro,016
01913,서울특별시,Seoul,노원구,Nowon-gu,,,마들로,Madeul-ro,019
01313,서울특별시,Seoul,도봉구,Dobong-gu,,,도봉로169길,Dobong-ro 169-gil,013
01407,서울특별시,Seoul,도봉구,Dobong-gu,,,방학로,Banghak-ro,014
02602,서울특별시,Seoul,동대문구,Dongdaemun-gu,,,사가정로2길,Sagajeong-ro 2-gil,026
02593,서울특별시,Seoul,동대문구,Dongdaemun-gu,,,황물로,Hwangmul-ro,025
02448,서울특별시,Seoul,동대문구,Dongdaemun-gu,,,천장산로9길,Cheonjangsan-ro 9-gil,024
06925,서울특별시,Seoul,동작구,Dongjak-gu,,,장승배기로22길,Jangseungbaegi-ro 22-gil,069
07055,서울특별시,Seoul,동작구,Dongjak-gu,,,여의대방로24마길,Yeouidaebang-ro 24ma-gil,070
04183,서울특별시,Seoul,마포구,Mapo-gu,,,만리재로14길,Mallijae-ro 14-gil,041
04211,서울특별시,Seoul,마포구,Mapo-gu,,,마포대로12길,Mapo-daero 12-gil,042
04087,서울특별시,Seoul,마포구,Mapo-gu,,,토정로,Tojeong-ro,040
03993,서울특별시,Seoul,마포구,Mapo-gu,,,월드컵북로6길,World Cup buk-ro 6-gil,039
03693,서울특별시,Seoul,서대문구,Seodaemun-gu,,,가재울로2안길,Gajaeul-ro 2an-gil,036
03710,서울특별시,Seoul,서대문구,Seodaemun-gu,,,모래내로15길,Moraenae-ro 15-gil,037
06801,서울특별시,Seoul,서초구,Seocho-gu,,,능안말3길,Neunganmal 3-gil,068
06794,서울특별시,Seoul,서초구,Seocho-gu,,,샘마을1길,Saemmaeul 1-gil,067
06533,서울특별시,Seoul,서초구,Seocho-gu,,,신반포로,Sinbanpo-ro,065
06687,서울특별시,Seoul,서초구,Seocho-gu,,,효령로,Hyoryeong-ro,066
04718,서울특별시,Seoul,성동구,Seongdong-gu,,,금호로,Geumho-ro,047
04802,서울특별시,Seoul,성동구,Seongdong-gu,,,가람길,Garam-gil,048
02720,서울특별시,Seoul,성북구,Seongbuk-gu,,,서경로6길,Seogyeong-ro 6-gil,027
02817,서울특별시,Seoul,성북구,Seongbuk-gu,,,동소문로,Dongsomun-ro,028
05769,서울특별시,Seoul,송파구,Songpa-gu,,,오금로44가길,Ogeum-ro 44ga-gil,057
05825,서울특별시,Seoul,송파구,Songpa-gu,,,송이로23길,Songi-ro 23-gil,058
05699,서울특별시,Seoul,송파구,Songpa-gu,,,송파대로,Songpa-daero,056
05549,서울특별시,Seoul,송파구,Songpa-gu,,,올림픽로32길,Olympic-ro 32-gil,055
08000,서울특별시,Seoul,양천구,Yangcheon-gu,,,목동동로,Mokdongdong-ro,080
07974,서울특별시,Seoul,양천구,Yangcheon-gu,,,목동중앙본로28길,Mokdongjungangbon-ro 28-gil,079
08104,서울특별시,Seoul,양천구,Yangcheon-gu,,,목동남로2길,Mokdongnam-ro 2-gil,081
07226,서울특별시,Seoul,영등포구,Yeongdeungpo-gu,,,버드나루로23길,Beodeunaru-ro 23-gil,072
07402,서울특별시,Seoul,영등포구,Yeongdeungpo-gu,,,가마산로46길,Gamasan-ro 46-gil,074
07379,서울특별시,Seoul,영등포구,Yeongdeungpo-gu,,,도신로10길,Dosin-ro 10-gil,073
04322,서울특별시,Seoul,용산구,Yongsan-gu,,,한강대로77길,Hangang-daero 77-gil,043
04407,서울특별시,Seoul,용산구,Yongsan-gu,,,우사단로6길,Usadan-ro 6-gil,044
03335,서울특별시,Seoul,은평구,Eunpyeong-gu,,,연서로19길,Yeonseo-ro 19-gil,033
03428,서울특별시,Seoul,은평구,Eunpyeong-gu,,,갈현로7길,Galhyeon-ro 7-gil,034
03505,서울특별시,Seoul,은평구,Eunpyeong-gu,,,증산로1길,Jeungsan-ro 1-gil,035
03052,서울특별시,Seoul,종로구,Jongno-gu,,,북촌로11길,Bukchon-ro 11-gil,030
03144,서울특별시,Seoul,종로구,Jongno-gu,,,우정국로,Ujeongguk-ro,031
04561,서울특별시,Seoul,중구,Jung-gu,,,동호로34길,Dongho-ro 34-gil,045
04614,서울특별시,Seoul,중구,Jung-gu,,,퇴계로68길,Toegye-ro 68-gil,046
02173,서울특별시,Seoul,중랑구,Jungnang-gu,,,봉우재로,Bongujae-ro,021
02057,서울특별시,Seoul,중랑구,Jungnang-gu,,,양원역로14길,Yangwonyeok-ro 14-gil,020
02256,서울특별시,Seoul,중랑구,Jungnang-gu,,,용마산로36길,Yongmasan-ro 36-gil,022
62463,광주광역시,Gwangju,광산구,Gwangsan-gu,,,임곡로,Imgok-ro,624
62394,광주광역시,Gwangju,광산구,Gwangsan-gu,,,고봉로,Gobong-ro,623
62207,광주광역시,Gwangju,광산구,Gwangsan-gu,,,임곡연동길,Imgogyeondong-gil,622
61639,광주광역시,Gwangju,남구,Nam-gu,,,천변좌로370번길,Cheonbyeonjwa-ro 370beon-gil,616
61763,광주광역시,Gwangju,남구,Nam-gu,,,구소길,Guso-gil,617
61414,광주광역시,Gwangju,동구,Dong-gu,,,동계로,Donggye-ro,614
61513,광주광역시,Gwangju,동구,Dong-gu,,,육판서길,Yukpanseo-gil,615
61139,광주광역시,Gwangju,북구,Buk-gu,,,각화대로,Gakhwa-daero,611
61241,광주광역시,Gwangju,북구,Buk-gu,,,경열로186번길,Gyeongyeol-ro 186beon-gil,612
61006,광주광역시,Gwangju,북구,Buk-gu,,,앰코로,Amkor-ro,610
61917,광주광역시,Gwangju,서구,Seo-gu,,,무진대로,Mujin-daero,619
62009,광주광역시,Gwangju,서구,Seo-gu,,,마륵벽진길,Mareukbyeokjin-gil,620
28006,충청북도,Chungcheongbuk-do,괴산군,Goesan-gun,감물면,Gammul-myeon,광전길,Gwangjeon-gil,280
27021,충청북도,Chungcheongbuk-do,단양군,Danyang-gun,가곡면,Gagok-myeon,가대1길,Gadae 1-gil,270
28905,충청북도,Chungcheongbuk-do,보은군,Boeun-gun,내북면,Naebuk-myeon,창리길,Changni-gil,289
29122,충청북도,Chungcheongbuk-do,영동군,Yeongdong-gun,매곡면,Maegok-myeon,해평동1길,Haepyeongdong 1-gil,291
29004,충청북도,Chungcheongbuk-do,옥천군,Okcheon-gun,군북면,Gunbuk-myeon,성왕로,Seongwang-ro,290
27600,충청북도,Chungcheongbuk-do,음성군,Eumseong-gun,감곡면,Gamgok-myeon,대학길190번길,Daehak-gil 190beon-gil,276
27731,충청북도,Chungcheongbuk-do,음성군,Eumseong-gun,금왕읍,Geumwang-eup,리노산단1길,Rinosandan 1-gil,277
27205,충청북도,Chungcheongbuk-do,제천시,Jecheon-si,,,강저로,Gangjeo-ro,272
27192,충청북도,Chungcheongbuk-do,제천시,Jecheon-si,,,청풍호로10길,Cheongpungho-ro 10-gil,271
27904,충청북도,Chungcheongbuk-do,증평군,Jeungpyeong-gun,도안면,Doan-myeon,상모산길,Sangmosan-gil,279
27802,충청북도,Chungcheongbuk-do,진천군,Jincheon-gun,광혜원면,Gwanghyewon-myeon,화랑5길,Hwarang 5-gil,278
28204,충청북도,Chungcheongbuk-do,청주시,"Sangdang-gu, Cheongju-si",가덕면,Gadeok-myeon,계산2길,Gyesan 2-gil,282
28191,충청북도,Chungcheongbuk-do,청주시,"Sangdang-gu, Cheongju-si",가덕면,Gadeok-myeon,노동두산길,Nodongdusan-gil,281
28734,충청북도,Chungcheongbuk-do,청주시,"Sangdang-gu, Cheongju-si",,,쇠내로,Soenae-ro,287
28531,충청북도,Chungcheongbuk-do,청주시,"Sangdang-gu, Cheongju-si",,,상당로,Sangdang-ro,285
28806,충청북도,Chungcheongbuk-do,청주시,"Sangdang-gu, Cheongju-si",남일면,Namil-myeon,단재로,Danjae-ro,288
28311,충청북도,Chungcheongbuk-do,청주시,"Sangdang-gu, Cheongju-si",,,명암로197번길,Myeongam-ro 197beon-gil,283
28608,충청북도,Chungcheongbuk-do,청주시,"Seowon-gu, Cheongju-si",,,복대로,Bokdae-ro,286
28484,충청북도,Chungcheongbuk-do,청주시,"Cheongwon-gu, Cheongju-si",,,교서로,Gyoseo-ro,284
27479,충청북도,Chungcheongbuk-do,충주시,Chungju-si,,,대가주1길,Daegaju 1-gil,274
27365,충청북도,Chungcheongbuk-do,충주시,Chungju-si,,,대가미9길,Daegami 9-gil,273
27501,충청북도,Chungcheongbuk-do,충주시,Chungju-si,수안보면,Suanbo-myeon,미륵점말2길,Mireukjeommal 2-gil,275
38540,경상북도,Gyeongsangbuk-do,경산시,Gyeongsan-si,,,화랑로8길,Hwarang-ro 8-gil,385
38615,경상북도,Gyeongsangbuk-do,경산시,Gyeongsan-si,,,남매공원로2길,Nammaegongwon-ro 2-gil,386
38482,경상북도,Gyeongsangbuk-do,경산시,Gyeongsan-si,압량읍,Amnyang-eup,노선길,Noseon-gil,384
38125,경상북도,Gyeongsangbuk-do,경주시,Gyeongju-si,감포읍,Gampo-eup,감포로10길,Gampo-ro 10-gil,381
38033,경상북도,Gyeongsangbuk-do,경주시,Gyeongju-si,강동면,Gangdong-myeon,천강로,Cheongang-ro,380
38200,경상북도,Gyeongsangbuk-do,경주시,Gyeongju-si,,,시동로,Sidong-ro,382
40147,경상북도,Gyeongsangbuk-do,고령군,Goryeong-gun,개진면,Gaejin-myeon,개경포로,Gaegyeongpo-ro,401
39176,경상북도,Gyeongsangbuk-do,구미시,Gumi-si,,,거양8길,Geoyang 8-gil,391
39248,경상북도,Gyeongsangbuk-do,구미시,Gumi-si,,,수출대로3길,Suchul-daero 3-gil,392
39375,경상북도,Gyeongsangbuk-do,구미시,Gumi-si,,,1공단로,1gongdan-ro,393
39442,경상북도,Gyeongsangbuk-do,구미시,Gumi-si,,,인동북길,Indongbuk-gil,394
39510,경상북도,Gyeongsangbuk-do,김천시,Gimcheon-si,감문면,Gammun-myeon,광덕1길,Gwangdeok 1-gil,395
39681,경상북도,Gyeongsangbuk-do,김천시,Gimcheon-si,감천면,Gamcheon-myeon,광기2길,Gwanggi 2-gil,396
36997,경상북도,Gyeongsangbuk-do,문경시,Mungyeong-si,가은읍,Gaeun-eup,갈전1길,Galjeon 1-gil,369
37001,경상북도,Gyeongsangbuk-do,문경시,Mungyeong-si,농암면,Nongam-myeon,갈동길,Galdong-gil,370
36256,경상북도,Gyeongsangbuk-do,봉화군,Bonghwa-gun,명호면,Myeongho-myeon,고감1길,Gogam 1-gil,362
37223,경상북도,Gyeongsangbuk-do,상주시,Sangju-si,,,가장오갈미길,Gajangogalmi-gil,372
37159,경상북도,Gyeongsangbuk-do,상주시,Sangju-si,,,계산1길,Gyesan 1-gil,371
40060,경상북도,Gyeongsangbuk-do,성주군,Seongju-gun,가천면,Gacheon-myeon,금봉3길,Geumbong 3-gil,400
36697,경상북도,Gyeongsangbuk-do,안동시,Andong-si,,,중앙시장길,Jungangsijang-gil,366
36736,경상북도,Gyeongsangbuk-do,안동시,Andong-si,길안면,Giran-myeon,고란길,Goran-gil,367
36454,경상북도,Gyeongsangbuk-do,영덕군,Yeongdeok-gun,강구면,Ganggu-myeon,강영로,Gangyeong-ro,364
36562,경상북도,Gyeongsangbuk-do,영양군,Yeongyang-gun,석보면,Seokbo-myeon,하논실1길,Hanonsil 1-gil,365
36135,경상북도,Gyeongsangbuk-do,영주시,Yeongju-si,,,대학로142번길,Daehak-ro 142beon-gil,361
36056,경상북도,Gyeongsangbuk-do,영주시,Yeongju-si,,,신재로12번길,Sinjae-ro 12beon-gil,360
38902,경상북도,Gyeongsangbuk-do,영천시,Yeongcheon-si,고경면,Gogyeong-myeon,가수길,Gasu-gil,389
38817,경상북도,Gyeongsangbuk-do,영천시,Yeongcheon-si,고경면,Gogyeong-myeon,방천길,Bangcheon-gil,388
36811,경상북도,Gyeongsangbuk-do,예천군,Yecheon-gun,감천면,Gamcheon-myeon,관현2길,Gwanhyeon 2-gil,368
40209,경상북도,Gyeongsangbuk-do,울릉군,Ulleung-gun,북면,Buk-myeon,나리1길,Nari 1-gil,402
36336,경상북도,Gyeongsangbuk-do,울진군,Uljin-gun,근남면,Geunnam-myeon,뒷들길,Dwitdeul-gil,363
37358,경상북도,Gyeongsangbuk-do,의성군,Uiseong-gun,가음면,Gaeum-myeon,산성가음로,Sanseonggaeum-ro,373
38321,경상북도,Gyeongsangbuk-do,청도군,Cheongdo-gun,각남면,Gangnam-myeon,구곡길,Gugok-gil,383
37442,경상북도,Gyeongsangbuk-do,청송군,Cheongsong-gun,부남면,Bunam-myeon,청송로,Cheongsong-ro,374
39853,경상북도,Gyeongsangbuk-do,칠곡군,Chilgok-gun,가산면,Gasan-myeon,북창전원길,Bukchangjeonwon-gil,398
39913,경상북도,Gyeongsangbuk-do,칠곡군,Chilgok-gun,기산면,Gisan-myeon,각산1길,Gaksan 1-gil,399
37859,경상북도,Gyeongsangbuk-do,포항시,"Nam-gu, Pohang-si",,,동해안로6213번길,Donghaean-ro 6213beon-gil,378
37933,경상북도,Gyeongsangbuk-do,포항시,"Nam-gu, Pohang-si",구룡포읍,Guryongpo-eup,호미로,Homi-ro,379
37781,경상북도,Gyeongsangbuk-do,포항시,"Nam-gu, Pohang-si",,,양학천로,Yanghakcheon-ro,377
37685,경상북도,Gyeongsangbuk-do,포항시,"Nam-gu, Pohang-si",,,대이로,Daei-ro,376
37525,경상북도,Gyeongsangbuk-do,포항시,"Buk-gu, Pohang-si",기계면,Gigye-myeon,새마을로,Saemaeul-ro,375
43121,대구광역시,Daegu,대구광역시,Gunwi-gun,군위읍,Gunwi-eup,광현길,Gwanghyeon-gil,431
42454,대구광역시,Daegu,대구광역시,Nam-gu,,,양지남길,Yangjinam-gil,424
42501,대구광역시,Daegu,대구광역시,Nam-gu,,,앞산순환로,Apsansunhwan-ro,425
42704,대구광역시,Daegu,대구광역시,Dalseo-gu,,,성서서로36안길,Seongseoseo-ro 36an-gil,427
42697,대구광역시,Daegu,대구광역시,Dalseo-gu,,,성서로68길,Seongseo-ro 68-gil,426
42842,대구광역시,Daegu,대구광역시,Dalseo-gu,,,갈밭로,Galbat-ro,428
42938,대구광역시,Daegu,대구광역시,Dalseong-gun,가창면,Gachang-myeon,가창로176길,Gachang-ro 176-gil,429
43008,대구광역시,Daegu,대구광역시,Dalseong-gun,구지면,Guji-myeon,국가산단동로42길,Gukgasandandong-ro 42-gil,430
41065,대구광역시,Daegu,대구광역시,Dong-gu,,,경안로,Gyeongan-ro,410
41127,대구광역시,Daegu,대구광역시,Dong-gu,,,반야월북로,Banyawolbuk-ro,411
41201,대구광역시,Daegu,대구광역시,Dong-gu,,,송라로25길,Songna-ro 25-gil,412
41507,대구광역시,Daegu,대구광역시,Buk-gu,,,검단북로27길,Geomdanbuk-ro 27-gil,415
41444,대구광역시,Daegu,대구광역시,Buk-gu,,,관음동로,Gwaneumdong-ro,414
41851,대구광역시,Daegu,대구광역시,Seo-gu,,,서대구로7길,Seodaegu-ro 7-gil,418
41715,대구광역시,Daegu,대구광역시,Seo-gu,,,팔달로,Paldal-ro,417
42260,대구광역시,Daegu,대구광역시,Suseong-gu,,,고모로26길,Gomo-ro 26-gil,422
42174,대구광역시,Daegu,대구광역시,Suseong-gu,,,들안로2길,Deuran-ro 2-gil,421
42036,대구광역시,Daegu,대구광역시,Suseong-gu,,,만촌로,Manchon-ro,420
41932,대구광역시,Daegu,대구광역시,Jung-gu,,,서성로,Seoseong-ro,419
23024,인천광역시,Incheon,인천광역시,Ganghwa-gun,강화읍,Ganghwa-eup,갑룡길,Gamnyong-gil,230
21001,인천광역시,Incheon,인천광역시,Gyeyang-gu,,,드림로674번길,Dream-ro 674beon-gil,210
21111,인천광역시,Incheon,인천광역시,Gyeyang-gu,,,계양대로,Gyeyang-daero,211
21504,인천광역시,Incheon,인천광역시,Namdong-gu,,,벽돌말로19번길,Byeokdolmal-ro 19beon-gil,215
21692,인천광역시,Incheon,인천광역시,Namdong-gu,,,앵고개로556번길,Aenggogae-ro 556beon-gil,216
21700,인천광역시,Incheon,인천광역시,Namdong-gu,,,남동대로,Namdong-daero,217
22564,인천광역시,Incheon,인천광역시,Dong-gu,,,금곡로36번길,Geumgok-ro 36beon-gil,225
22243,인천광역시,Incheon,인천광역시,Michuhol-gu,,,경원대로640번길,Gyeongwon-daero 640beon-gil,222
22181,인천광역시,Incheon,인천광역시,Michuhol-gu,,,경인북길,Gyeonginbuk-gil,221
21317,인천광역시,Incheon,인천광역시,Bupyeong-gu,,,새갈로28번길,Saegal-ro 28beon-gil,213
21417,인천광역시,Incheon,인천광역시,Bupyeong-gu,,,무네미로,Munemi-ro,214
22731,인천광역시,Incheon,인천광역시,Seo-gu,,,염곡로498번안길,Yeomgok-ro 498beonan-gil,227
22883,인천광역시,Incheon,인천광역시,Seo-gu,,,염곡로464번길,Yeomgok-ro 464beon-gil,228
22697,인천광역시,Incheon,인천광역시,Seo-gu,,,도요지로197번길,Doyoji-ro 197beon-gil,226
21944,인천광역시,Incheon,인천광역시,Yeonsu-gu,,,솔밭로,Solbat-ro,219
22002,인천광역시,Incheon,인천광역시,Yeonsu-gu,,,해돋이로,Haedoji-ro,220
23105,인천광역시,Incheon,인천광역시,Ongjin-gun,대청면,Daecheong-myeon,대청북로,Daecheongbuk-ro,231
22318,인천광역시,Incheon,인천광역시,Jung-gu,,,참외전로152번길,Chamoejeon-ro 152beon-gil,223
22408,인천광역시,Incheon,인천광역시,Jung-gu,,,영종대로,Yeongjong-daero,224
46706,부산광역시,Busan,부산광역시,Gangseo-gu,,,제도로,Jedo-ro,467
46230,부산광역시,Busan,부산광역시,Geumjeong-gu,,,두실로7번길,Dusil-ro 7beon-gil,462
46331,부산광역시,Busan,부산광역시,Geumjeong-gu,,,공단서로,Gongdanseo-ro,463
46057,부산광역시,Busan,부산광역시,Gijang-gun,기장읍,Gijang-eup,차성로417번길,Chaseong-ro 417beon-gil,460
48553,부산광역시,Busan,부산광역시,Nam-gu,,,신선로,Sinseon-ro,485
48491,부산광역시,Busan,부산광역시,Nam-gu,,,석포로,Seokpo-ro,484
48752,부산광역시,Busan,부산광역시,Dong-gu,,,성남이로56번길,Seongnami-ro 56beon-gil,487
48812,부산광역시,Busan,부산광역시,Dong-gu,,,초량상로63번가길,Choryangsang-ro 63beonga-gil,488
47882,부산광역시,Busan,부산광역시,Dongnae-gu,,,반송로,Bansong-ro,478
47902,부산광역시,Busan,부산광역시,Dongnae-gu,,,온천천로399번길,Oncheoncheon-ro 399beon-gil,479
47747,부산광역시,Busan,부산광역시,Dongnae-gu,,,명륜로202번길,Myeongnyun-ro 202beon-gil,477
47331,부산광역시,Busan,부산광역시,Busanjin-gu,,,대학로,Daehak-ro,473
47271,부산광역시,Busan,부산광역시,Busanjin-gu,,,가야대로587번길,Gaya-daero 587beon-gil,472
47175,부산광역시,Busan,부산광역시,Busanjin-gu,,,백양대로320번길,Baegyang-daero 320beon-gil,471
46650,부산광역시,Busan,부산광역시,Buk-gu,,,백양대로1015번길,Baegyang-daero 1015beon-gil,466
46598,부산광역시,Busan,부산광역시,Buk-gu,,,팽나무로24번길,Paengnamu-ro 24beon-gil,465
46985,부산광역시,Busan,부산광역시,Sasang-gu,,,학감대로,Hakgam-daero,469
47027,부산광역시,Busan,부산광역시,Sasang-gu,,,가야대로,Gaya-daero,470
49364,부산광역시,Busan,부산광역시,Saha-gu,,,감내2로,Gamnae 2-ro,493
49450,부산광역시,Busan,부산광역시,Saha-gu,,,감천로,Gamcheon-ro,494
49512,부산광역시,Busan,부산광역시,Saha-gu,,,두송로,Dusong-ro,495
49256,부산광역시,Busan,부산광역시,Seo-gu,,,충무대로241번길,Chungmu-daero 241beon-gil,492
48241,부산광역시,Busan,부산광역시,Suyeong-gu,,,연수로364번길,Yeonsu-ro 364beon-gil,482
48303,부산광역시,Busan,부산광역시,Suyeong-gu,,,광안해변로,Gwanganhaebyeon-ro,483
47548,부산광역시,Busan,부산광역시,Yeonje-gu,,,거제대로108번길,Geoje-daero 108beon-gil,475
47614,부산광역시,Busan,부산광역시,Yeonje-gu,,,금련로24번길,Geumnyeon-ro 24beon-gil,476
49054,부산광역시,Busan,부산광역시,Yeongdo-gu,,,남항로,Namhang-ro,490
49113,부산광역시,Busan,부산광역시,Yeongdo-gu,,,절영로,Jeoryeong-ro,491
48954,부산광역시,Busan,부산광역시,Jung-gu,,,광복로,Gwangbok-ro,489
48020,부산광역시,Busan,부산광역시,Haeundae-gu,,,아랫반송로59번길,Araetbansong-ro 59beon-gil,480
48100,부산광역시,Busan,부산광역시,Haeundae-gu,,,동백로,Dongbaek-ro,481
44782,울산광역시,Ulsan,울산광역시,Nam-gu,,,신여천로,Sinyeocheon-ro,447
44691,울산광역시,Ulsan,울산광역시,Nam-gu,,,중앙로166번길,Jungang-ro 166beon-gil,446
44007,울산광역시,Ulsan,울산광역시,Dong-gu,,,미포4길,Mipo 4-gil,440
44114,울산광역시,Ulsan,울산광역시,Dong-gu,,,방어진순환도로,Bangeojinsunhwando-ro,441
44211,울산광역시,Ulsan,울산광역시,Buk-gu,,,농서로,Nongseo-ro,442
44915,울산광역시,Ulsan,울산광역시,Ulju-gun,두동면,Dudong-myeon,당산길,Dangsan-gil,449
45015,울산광역시,Ulsan,울산광역시,Ulju-gun,서생면,Seosaeng-myeon,해맞이로,Haemaji-ro,450
44428,울산광역시,Ulsan,울산광역시,Jung-gu,,,종가로,Jongga-ro,444
44538,울산광역시,Ulsan,울산광역시,Jung-gu,,,종가로,Jongga-ro,445
62463,광주광역시,Gwangju,광주광역시,Gwangsan-gu,,,임곡로,Imgok-ro,624
62394,광주광역시,Gwangju,광주광역시,Gwangsan-gu,,,고봉로,Gobong-ro,623
62207,광주광역시,Gwangju,광주광역시,Gwangsan-gu,,,임곡연동길,Imgogyeondong-gil,622
61639,광주광역시,Gwangju,광주광역시,Nam-gu,,,천변좌로370번길,Cheonbyeonjwa-ro 370beon-gil,616
61763,광주광역시,Gwangju,광주광역시,Nam-gu,,,구소길,Guso-gil,617
61414,광주광역시,Gwangju,광주광역시,Dong-gu,,,동계로,Donggye-ro,614
61513,광주광역시,Gwangju,광주광역시,Dong-gu,,,육판서길,Yukpanseo-gil,615
61139,광주광역시,Gwangju,광주광역시,Buk-gu,,,각화대로,Gakhwa-daero,611
61241,광주광역시,Gwangju,광주광역시,Buk-gu,,,경열로186번길,Gyeongyeol-ro 186beon-gil,612
61006,광주광역시,Gwangju,광주광역시,Buk-gu,,,앰코로,Amkor-ro,610
61917,광주광역시,Gwangju,광주광역시,Seo-gu,,,무진대로,Mujin-daero,619
62009,광주광역시,Gwangju,광주광역시,Seo-gu,,,마륵벽진길,Mareukbyeokjin-gil,620
34316,대전광역시,Daejeon,대전광역시,Daedeok-gu,,,대청호수로,Daecheonghosu-ro,343
34406,대전광역시,Daejeon,대전광역시,Daedeok-gu,,,동춘당로,Dongchundang-ro,344
34588,대전광역시,Daejeon,대전광역시,Dong-gu,,,우암로,Uam-ro,345
34602,대전광역시,Daejeon,대전광역시,Dong-gu,,,계족로,Gyejok-ro,346
34708,대전광역시,Daejeon,대전광역시,Dong-gu,,,물류로,Mullyu-ro,347
35390,대전광역시,Daejeon,대전광역시,Seo-gu,,,가수원중로65번길,Gasuwonjung-ro 65beon-gil,353
35296,대전광역시,Daejeon,대전광역시,Seo-gu,,,도산로321번길,Dosan-ro 321beon-gil,352
35416,대전광역시,Daejeon,대전광역시,Seo-gu,,,괴곡길,Goegok-gil,354
34131,대전광역시,Daejeon,대전광역시,Yuseong-gu,,,대덕대로,Daedeok-daero,341
34209,대전광역시,Daejeon,대전광역시,Yuseong-gu,,,학하서로10번길,Hakhaseo-ro 10beon-gil,342
34018,대전광역시,Daejeon,대전광역시,Yuseong-gu,,,관들2길,Gwandeul 2-gil,340
35072,대전광역시,Daejeon,대전광역시,Jung-gu,,,운남로293번길,Unnam-ro 293beon-gil,350
34946,대전광역시,Daejeon,대전광역시,Jung-gu,,,계룡로929번길,Gyeryong-ro 929beon-gil,349
34838,대전광역시,Daejeon,대전광역시,Jung-gu,,,중앙로,Jungang-ro,348
30065,세종특별자치시,Sejong-si,세종특별자치시,,,,라온로,Raon-ro,300
30101,세종특별자치시,Sejong-si,세종특별자치시,,,,만남로,Mannam-ro,301
